[27/Jul/2023:17:07:31 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:31 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:31 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:32 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:32 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:07:32 +0000] 403 - GET http adduser.myapp.com "/?rd=http://dockerhost.company.local:8089/;" [Client 172.21.0.1] [Length 182] [Gzip 3.23] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://auth.myapp.com/"
[27/Jul/2023:17:13:49 +0000] 200 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://localhost:81/"
[27/Jul/2023:17:13:55 +0000] 404 - GET http adduser.myapp.com "/auth" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:17:14:31 +0000] 404 - GET http adduser.myapp.com "/auth" [Client 172.21.0.1] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:54:14 +0000] 200 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:54:14 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:54:15 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:54:15 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:54:15 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:54:15 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:54:35 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:56:39 +0000] 200 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:56:39 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[27/Jul/2023:20:56:39 +0000] 304 - GET http adduser.myapp.com "/" [Client 172.21.0.1] [Length 0] [Gzip -] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
